title,soldprice,solddate,bids,link
APPLE iPHONE 13,275.0,2024-09-01,10 bids,https://www.ebay.co.uk/itm/296651416127?_nkw=iphone+13&hash=item4511cd623f%3Ag%3AIacAAOSwqKFmzPiq&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkYXTUdE5gMKtdNad7AtU3GL8RkSPvNodIWZtiAvfex85OUFDIIyCq7bFsu4626bNIkngL9ARkF0D2cNZ1uPmDGamwrxdWIQ1U%2FrO%2FOjJsI4ZWy7oWfhIvveFN9MbRVkjDm3ANQ4T8weacNS8lhMynm6YH6OPaheG6Y2NicwxE9tTpp8XoFTVPJAV8uKWFzpEmZvErLFM%2FHjduF5qFivAV%2Fy1Xz6i4nFn99Uxn%2BaODCQw%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 - 128GB - Blue (EE),265.0,2024-09-01,4 bids,https://www.ebay.co.uk/itm/326253236926?_nkw=iphone+13&epid=23049396271&hash=item4bf63552be%3Ag%3AnTIAAOSwUtNmzNld&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmSSRQY3DJsNSsxzaeQmYIP9%2B3QVb1n5lSWSJ%2FWrtY%2B9x78GpSj3jz4C%2FHpZ%2Bx44Csr%2F9bAIVZKHwt6TNQuMxZQD0fwK3w3fURT2ISxoB4VBTj2SAi1bfWknEQnU1zica8KhmpZaPaCHPgPF2JNOU8sQIr2kiqOkQQMCugFF7n1NysndFoq%2FLvyQf6%2Bcv6F%2BWFTtGX0Y36npLr0JoTcXAMmhA%2B%2BHn3lTVDtNPOfA5n4ng%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 - 128GB - Midnight (Unlocked),235.0,2024-09-01,59 bids,https://www.ebay.co.uk/itm/226278376055?_nkw=iphone+13&epid=17049280668&hash=item34af3e0277%3Ag%3AGowAAOSwg6VmollY&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkxQ0X%2BuSbUc9amslUHBpfnoQjl9U%2BjcM86Jw%2BEC1u8wPKrL8jVU7W7F2iAxQKxuIlT0H%2FvDErug7QoFg0jYniI4sdb9bt2uUCX6OkUkkOooKRL7%2FG3HVGPLQ2m9wz8WbwHr8J%2FvPHCIqLyRlmD1qNshUzBvQaXl7qT2aLbzCTJs93Z8HTQ%2B4C9uaKWr%2BKO6X04B6ZYB2%2FX6cSCHo%2F%2BN%2BKNH%2Fn1U9aFhMV%2Fho8CJxPu1g%3D%3D%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Mini 256GB - Blue (Unlocked),193.8,2024-09-01,26 bids,https://www.ebay.co.uk/itm/176542947589?_nkw=iphone+13&epid=19049287661&hash=item291ac79905%3Ag%3A4OgAAOSwyxlmyzFd&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmVYfH2N%2B3HZ1Y%2B%2BngZUhAhUkJacswV5GwPWTmFwOL5G9Veo0%2FKbFBTFMF8gjAyseBgNcaZkiXl6ho0v9R%2B%2BPBlmmsVs6uUryUwB0slNEEz2SrsZQtRikhnhopbN%2BdsET9Da4jJ%2FaJ3TO%2FgbSeR%2FLjbm9dk8MkUI8ZbXo%2BMK64hyboqGteVV11LaMh4%2FNYkpb5uqtUgldua%2BoX16dTtKowHWDL0elacB%2FeJUvvHBpAxNuFbI4J6JOL2ewNAfp3H9EMqi5cTZ69jyYr1UuWdepxI%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Mini - 512GB - Blue (Unlocked) - Great Condition,350.0,2024-09-01,9 bids,https://www.ebay.co.uk/itm/305748544702?_nkw=iphone+13&epid=10049287451&hash=item4730088cbe%3Ag%3Any8AAOSwLYFmy4Rd&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmar0OFWw6TDxN%2FOPsGjuYQggxz1rqHQf6OA8EnY0Yuvsr%2BAV%2BWDXy4%2FGddFaYUyimWmuMJpF330Djxkke75afNL0W9tgi3YvZ6EgfR1Zqqys2Dh%2FKTBGz2w3eeoG%2FNwnv5bZHS7Q0FxoGB2Xjqtj8cWqeESA7yLKfA5rYmv37OdxeZrFl3RMKm1nre9fDmSkzSb%2B1oQMBoXOfGQKcn7YKh0E%2B4MqyzQuUK9DWs8eOQIz%2FQ0B3LyFoYAAm5ot4a8HWiSm7EwoGqCSgOrU2el8Ul%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
iPhone 13 Pro Max 128GB - Gold (Unlocked) Scratched Screen But Overall Good Cond,380.0,2024-09-01,28 bids,https://www.ebay.co.uk/itm/204969425714?_nkw=iphone+13&epid=9049279808&hash=item2fb9213b32%3Ag%3ACOIAAOSwX9Bm0Zt7&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmU6%2Bu7MIinumbNCutigGMBPzJ6QBMUw%2BygSfVjCvXdS5msVx3hhrZsu8Hm03vepUK37ulVQZRyUA3Dx313dK8mEU5%2FeUErWF5hL9lfj16mB98bIfmzgTJYXblNEZQ%2FE6wdqazmao%2B%2FsE3WFSzLKw86Kd8WCLv1LPZcQ872vv5iQYVvuY6a8sToow6pUkU4DFMOR6ow78kjZDj04O0q25%2BEVQOC%2FLAjkKRQfB8eO5WDcviZfrP1PpCwhIXFnz1Q6ItSiFU2bquSZC2D6HoiBY1Q%7Ctkp%3ABk9SR5Ku-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 512GB - Sierra Blue (Unlocked),391.0,2024-09-01,34 bids,https://www.ebay.co.uk/itm/204958595748?_nkw=iphone+13&epid=21049288285&hash=item2fb87bfaa4%3Ag%3Ar5cAAOSwP75myh9z&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmBTnSvz%2F1MmhcEXf69JAZCEzB96rHZy749BEbz1HRon7DH5KBNdbP1ajMI10omYndr0kQIEQ3b6OuLAPyBEcjSV%2FsuElpUJSjOHsNxzEMSAGAjPwpaiEpVouvRBeC2LuS7CihDYIpuSM0PdE4YnAhRaZlFhx9NB%2FNmf2iQZgyCOjmXUL5KVMFGNys9qKXcFIFaJY8tB1DQkIIxcvwN0X1AZaXaiTMIRKJfBoZpEPguxfYOck7E1YAuVyhZDBfcOY3illaBw83AphXOd9QRVuo%2F%7Ctkp%3ABk9SR5Su-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro Max - 128GB - Sierra Blue (Unlocked) A2643 (GSM),437.0,2024-09-01,17 bids,https://www.ebay.co.uk/itm/186653003482?_nkw=iphone+13&epid=27049276462&hash=item2b7562ceda%3Ag%3AbP0AAOSwLpZmy353&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnhAEOyHMXH8%2FplJsWF429TOcS6y2pTPO9Q7ln%2FHA8Lkk7f0o7Ov%2BjOJIOLUxgPANLp%2B%2BbBeULd%2Fuyk4pR1Xqgqnl56O4ca0rT1JN%2Byw6JvFW5qzgH1Hrla7UgNUjEXFPRSbgLeYwOS944zTKykxHVQoCWufdT7oxzucwd9PKdCRJazBufNwoP6zqJ%2FLeQC26KmjWmklATkqCkK%2BgVY1Ht6RGkGDDca2qasPrIuVsPUScrsORkZag%2B29C3NbAH1tB8doqIjnc%2FlCJyFjRCoxskl%7Ctkp%3ABk9SR5Su-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro Max - 128GB - Silver (Unlocked),260.0,2024-09-01,40 bids,https://www.ebay.co.uk/itm/305745243048?_nkw=iphone+13&epid=17049280694&hash=item472fd62ba8%3Ag%3A1m4AAOSwboBmyOHL&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk1iMpV2VqPdkKeScpKAO7BMwhDigudrTdkPM9KL1ww51QjjfEjwAwNWQM3RAJ3L1xV8zDle%2FTF6Ggom7i6AgJrVzEiwwuP83xt65JDJf%2FWABNX37XQvEWxSqT%2F98dS2%2FJ9x9SPInYOIr2n3lCXQwl43BYlsfsyrClV60SlUT6z4HOi3wodF9LmbyPp%2BWWfeZK7IQKYmY6jbOB00QpIcE7AeutBJuwzDecnOcd8%2FOBbI3Mwb8vhMlgBpuGhhYmjm%2B4QDBWeDcqIxX%2FpIZvMgw%2F4%7Ctkp%3ABk9SR5Su-J-2ZA&LH_Auction=1
Apple iPhone 13 Pro - 128GB - Graphite (Unlocked),278.0,2024-09-01,44 bids,https://www.ebay.co.uk/itm/405190431523?_nkw=iphone+13&epid=15049284865&hash=item5e573b5323%3Ag%3AwYwAAOSwfo5mr5VC&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm8cRkvi8CNg4PBfp6lHsUAaMhwykTUr%2FkhVvjP6xot3xilt74cdJiSOOwIwXPdIOP9pzZauAtpjgyrQvF7KZ8Dpd7v%2BNJYsIqd11GOd5LFYUvJ4%2BpwpBknDa%2BuotzdP1RouKgYYNgU4H%2FQyUg3au9CwWeqUxRKRarPuWH3Avp0qil%2Fu6%2FrY2A%2F0eboXzgb%2BTIC%2FWlm9tlMrCz5Isb98FjS%2FfaQQ2vxMufhS8zDpkBZMAnUz0gtyisDaeE%2Fz%2FresCP3YhszqDmM7Lvys7wYfL5q%7Ctkp%3ABk9SR5Su-J-2ZA&LH_Auction=1
